RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          660     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.741D-01  7.622D-01
    1    3     1     0  ---    1  2.0D+00  4.9D-01  1.682D-02  6.950D-01
    2    4     0     0  con    0  1.0D+00  8.0D-02  2.105D-02  6.927D-01
    3    5     0     0  con    0  1.0D+00  4.2D-01  1.775D-02  6.871D-01
    4    6     0     0  con    0  1.0D+00  2.2D-01  9.352D-03  6.823D-01
    5    8     0     0  con    1  4.5D-01  9.0D-01  5.930D-02  6.705D-01
    6    9     0     0  con    0  1.0D+00  7.2D-01  7.820D-02  6.635D-01
    7   10     0     0  con    0  1.0D+00  8.0D-01  6.189D-02  6.427D-01
    8   12     0     0  con    1  4.5D-01  1.7D+00  5.646D-02  6.102D-01
    9   13     0     0  con    0  1.0D+00  2.8D+00  8.042D-02  5.785D-01
   10   15     0     0  con    1  1.3D-01  5.6D-01  4.348D-02  5.698D-01
   11   17     0     0  con    1  4.7D-02  4.3D-01  3.068D-02  5.641D-01
   12   19     0     0  con    1  3.9D-01  9.5D-01  5.730D-02  5.492D-01
   13   20     0     0  con    0  1.0D+00  1.3D+00  1.659D-01  5.282D-01
   14   21     0     0  con    0  1.0D+00  3.9D-01  1.281D-01  5.184D-01
   15   22     0     0  con    0  1.0D+00  6.5D-01  4.534D-02  5.103D-01
   16   24     0     0  con    1  4.7D-01  5.8D-01  7.005D-02  5.050D-01
   17   25     0     0  con    0  1.0D+00  1.3D-01  4.913D-02  4.997D-01
   18   26     0     0  con    0  1.0D+00  1.5D+00  2.054D-01  4.830D-01
   19   27     0     0  con    0  1.0D+00  1.3D+00  8.471D-02  4.664D-01
   20   28     0     0  con    0  1.0D+00  3.4D-01  6.094D-02  4.636D-01
   21   29     0     0  con    0  1.0D+00  1.8D+00  5.231D-02  4.463D-01
   22   31     0     0  con    1  3.2D-01  8.2D-01  1.173D-01  4.420D-01
   23   32     0     0  con    0  1.0D+00  6.7D-01  4.786D-02  4.363D-01
   24   33     0     0  con    0  1.0D+00  2.9D-01  2.159D-02  4.321D-01
   25   34     0     0  con    0  1.0D+00  6.6D-01  1.976D-02  4.260D-01
   26   35     0     0  con    0  1.0D+00  4.9D-01  7.547D-02  4.170D-01
   27   36     0     0  con    0  1.0D+00  5.6D-01  4.009D-02  4.114D-01
   28   37     0     0  con    0  1.0D+00  6.5D-01  2.185D-02  4.055D-01
   29   38     0     0  con    0  1.0D+00  6.1D-01  2.976D-02  3.962D-01
   30   40     0     0  con    1  3.8D-01  5.3D-01  3.249D-02  3.907D-01
   31   41     0     0  con    0  1.0D+00  5.8D-01  3.524D-02  3.851D-01
   32   42     0     0  con    0  1.0D+00  2.2D-01  1.758D-02  3.810D-01
   33   43     0     0  con    0  1.0D+00  5.3D-01  2.769D-02  3.756D-01
   34   44     0     0  con    0  1.0D+00  7.8D-01  6.558D-02  3.716D-01
   35   45     0     0  con    0  1.0D+00  9.1D-01  3.753D-02  3.600D-01
   36   46     0     0  con    0  1.0D+00  1.3D+00  5.253D-02  3.537D-01
   37   47     0     0  con    0  1.0D+00  5.7D-01  2.755D-02  3.472D-01
   38   48     0     0  con    0  1.0D+00  3.9D-01  2.568D-02  3.403D-01
   39   49     0     0  con    0  1.0D+00  9.5D-01  5.044D-02  3.368D-01
